Time Lon Lat Dep(km) Mag
2015-12-25T19:14:47.190000Z 71.1263 36.4935 206.0 6.3
2015-12-24T19:44:03.130000Z -123.1158 -55.755 12.28 6.2
2015-12-20T18:47:36.610000Z 117.6359 3.6455 14.0 6.1
2015-12-19T02:10:53.360000Z 169.3857 -18.3819 10.0 6.0
2015-12-17T19:49:53.050000Z -93.6294 15.8009 85.0 6.6
2015-12-09T12:58:01.780000Z 175.2475 -16.7374 10.0 6.1
2015-12-09T10:21:48.530000Z 129.5079 -4.1064 21.0 6.9
2015-12-07T07:50:05.950000Z 72.7797 38.2107 22.0 7.2
2015-12-04T22:25:00.110000Z 85.0913 -47.6165 35.0 7.1
2015-11-27T21:00:22.920000Z -70.6009 -24.828 34.0 6.2
2015-11-26T05:45:18.400000Z -71.2574 -9.1825 602.75 6.7
2015-11-24T22:50:54.370000Z -71.0184 -10.0598 620.56 7.6
2015-11-24T22:45:38.880000Z -70.9437 -10.5372 606.21 7.6
2015-11-24T13:21:35.730000Z 145.2659 18.7787 586.88 6.0
2015-11-21T09:06:13.460000Z 129.9375 -7.1484 82.0 6.1
2015-11-18T18:31:04.570000Z 158.4217 -8.8994 12.59 6.8
2015-11-17T07:10:07.300000Z 20.6 38.67 11.0 6.5
2015-11-13T20:51:31.030000Z 128.8729 31.0009 12.0 6.7
2015-11-11T02:46:19.830000Z -72.0585 -29.5097 10.0 6.9
2015-11-11T01:54:38.570000Z -72.0068 -29.5067 12.0 6.9
2015-11-09T16:03:46.070000Z -173.0746 51.6394 15.0 6.5
2015-11-08T16:47:02.160000Z 94.648 6.8431 10.0 6.6
2015-11-07T07:31:43.870000Z -71.4519 -30.8796 46.0 6.8
2015-11-07T07:04:31.380000Z -72.3015 -29.4642 13.0 6.2
2015-11-04T03:44:15.190000Z 124.8754 -8.3381 20.0 6.5
2015-10-26T09:09:42.560000Z 70.3676 36.5244 231.0 7.5
2015-10-23T04:04:18.140000Z 37.1711 -45.8146 10.0 6.0
2015-10-23T04:04:18.000000Z 37.17 -45.81 10.0 6.0
2015-10-23T01:40:06.320000Z 6.1653 -54.2258 11.0 6.2
2015-10-20T21:52:02.560000Z 167.3028 -14.8595 135.0 7.1
2015-10-18T16:18:35.520000Z -173.2608 -16.2018 12.0 6.0
2015-10-14T05:43:08.300000Z 156.2259 48.8595 12.0 6.0
2015-10-14T05:43:08.000000Z 156.23 48.86 12.0 6.0
2015-10-11T00:58:27.170000Z -135.708 -54.4856 10.0 6.1
2015-09-28T15:28:05.000000Z -66.6 -23.8 219.0 6.0
2015-09-26T02:51:18.830000Z -71.3217 -30.8148 46.0 6.3
2015-09-24T15:53:27.740000Z 131.2622 -0.6212 18.0 6.6
2015-09-24T15:53:27.000000Z 131.26 -0.62 18.0 6.6
2015-09-22T07:13:00.520000Z -71.2653 -31.4441 58.0 6.0
2015-09-22T07:13:00.000000Z -71.26 -31.44 58.0 6.1
2015-09-21T17:40:00.060000Z -71.3792 -31.7275 35.0 6.6
2015-09-21T05:39:34.910000Z -71.7431 -31.5757 30.0 6.1
2015-09-21T05:39:34.000000Z -71.74 -31.58 30.0 6.1
2015-09-19T12:52:20.920000Z -72.0629 -32.3335 18.0 6.2
2015-09-19T12:52:20.000000Z -72.07 -32.33 18.0 6.2
2015-09-19T05:06:47.500000Z -72.077 -29.6411 6.0 6.1
2015-09-18T15:59:42.640000Z -45.9886 15.2767 10.0 6.0
2015-09-18T09:10:44.730000Z -72.2292 -32.3681 8.0 6.2
2015-09-17T04:10:27.780000Z -71.804 -31.5173 23.0 6.7
2015-09-17T04:10:27.000000Z -71.81 -31.52 23.0 6.8
2015-09-17T03:55:15.430000Z -71.6876 -31.4244 27.0 6.5
2015-09-17T01:41:05.870000Z -71.6504 -31.1043 42.32 6.4
2015-09-16T23:18:41.850000Z -71.4262 -31.5622 28.41 7.0
2015-09-16T23:16:09.440000Z -71.9189 -31.6 35.0 6.1
2015-09-16T23:03:56.560000Z -71.7425 -31.7502 19.1 6.1
2015-09-16T22:59:15.000000Z -71.745 -31.618 26.7 6.4
2015-09-16T22:54:32.860000Z -71.6744 -31.5729 22.44 8.3
2015-09-16T14:03:22.110000Z 151.4768 -6.0114 6.0 6.1
2015-09-16T07:40:58.690000Z 126.4288 1.8841 41.55 6.3
2015-09-16T07:40:58.000000Z 126.43 1.88 41.5 6.3
2015-09-13T08:14:08.560000Z -109.6226 24.913 10.0 6.7
2015-09-10T10:26:44.810000Z -169.5349 52.0985 20.0 6.0
2015-09-07T09:13:56.600000Z -177.8599 -32.8199 17.0 6.3
2015-09-07T08:46:09.050000Z 179.1278 -24.2427 535.0 6.0
2015-09-01T15:25:09.520000Z 141.6 31.1806 8.0 6.0
2015-08-24T09:41:26.630000Z -178.7298 -30.6502 228.0 6.0
2015-08-15T07:47:06.500000Z 163.8226 -10.8968 8.0 6.4
2015-08-13T10:39:53.840000Z 78.0623 -37.0152 10.0 6.0
2015-08-12T18:49:24.080000Z 157.8772 -9.3293 6.43 6.5
2015-08-10T04:12:15.810000Z 158.0525 -9.3438 22.0 6.6
2015-08-06T23:59:46.290000Z -178.2511 -26.4576 269.0 6.0
2015-07-29T02:35:59.000000Z -153.1961 59.8935 119.3 6.3
2015-07-27T21:41:21.710000Z 138.5277 -2.6286 48.0 7.0
2015-07-27T04:49:46.400000Z -169.4458 52.376 29.0 6.9
2015-07-18T02:27:33.820000Z 165.1409 -10.4012 11.0 7.0
2015-07-16T15:16:33.780000Z -58.5479 13.8672 20.0 6.5
2015-07-10T04:12:42.540000Z 158.403 -9.307 12.0 6.7
