Time Lon Lat Dep(km) Mag
1998-05-30T18:18:15.900000Z 143.4023 39.0397 33.0 6.1
1998-05-30T06:22:28.940000Z 70.1183 37.1533 30.4 6.6
1998-05-28T21:11:41.500000Z 78.8674 37.3857 14.1 5.6
1998-05-28T18:33:28.410000Z 27.6426 31.4459 10.0 5.5
1998-05-28T15:20:14.000000Z 114.6421 -8.0198 33.0 6.9
1998-05-27T20:41:35.960000Z 159.4484 52.2153 43.4 5.9
1998-05-27T15:27:20.180000Z 149.7066 -5.9203 69.3 5.9
1998-05-23T17:44:46.740000Z 123.7885 8.1778 646.0 6.0
1998-05-22T19:49:34.880000Z 131.6545 33.6534 89.8 5.5
1998-05-22T04:48:50.460000Z -65.539 -17.8595 24.0 6.6
1998-05-21T22:31:27.170000Z 41.5525 -43.3649 38.4 6.3
1998-05-21T05:34:23.880000Z 119.5659 0.1811 20.4 6.7
1998-05-18T17:19:05.460000Z 15.1111 39.2955 287.5 5.5
1998-05-16T02:22:02.640000Z -179.5049 -22.2067 570.5 6.8
1998-05-15T05:58:08.440000Z 144.9098 14.1323 175.0 6.0
1998-05-15T00:02:38.990000Z 143.8486 12.2066 20.6 5.5
1998-05-14T18:56:22.210000Z 143.261 40.2765 22.6 6.0
1998-05-13T23:02:06.470000Z 151.7716 -5.1658 67.0 6.5
1998-05-12T17:01:05.140000Z 150.3688 45.2595 44.4 5.6
1998-05-11T12:40:42.570000Z 152.5826 -5.1517 60.8 5.5
1998-05-10T06:06:03.930000Z -90.8696 13.717 76.4 6.3
1998-05-06T01:53:11.230000Z 120.9376 18.8314 45.4 5.8
1998-05-03T23:30:24.070000Z 125.3178 22.3022 50.5 7.5
